token;evento;ocorrido_em;valor_acordo
osuuf2ac7nlcupl3;acordo;2026-09-19T14:36:00;641.93
siuu3777pw3thp2f;clique;2026-09-19T14:55:00;
siuu3777pw3thp2f;login;2026-09-19T14:58:00;
p5jjckibj3yekivp;clique;2026-09-19T17:27:00;
umc6vehtlqsk6imf;clique;2026-09-19T18:15:00;
gdebogsaubaj6uqo;clique;2026-09-19T20:06:00;
lvjqvpdgbkqpemdc;clique;2026-09-19T20:52:00;
p2nwfimjrx76tocv;clique;2026-09-19T21:12:00;
p2nwfimjrx76tocv;login;2026-09-19T21:21:00;
ji4msjfqgqepyliz;clique;2026-09-19T22:36:00;
ji4msjfqgqepyliz;login;2026-09-19T22:39:00;
indyaaxga2i4hf4l;clique;2026-09-19T22:46:00;
p6fpnbp7jktuj6fy;clique;2026-09-19T23:53:00;
umn4eldbs3ynil5w;clique;2026-09-20T00:11:00;
u53qzg46exw3lnjl;clique;2026-09-20T00:57:00;
dtx5haz66y6ltz6a;clique;2026-09-20T01:44:00;
dtx5haz66y6ltz6a;login;2026-09-20T01:49:00;
dygqalb4o7tmyqpc;clique;2026-09-20T02:16:00;
co5tuiaemnrygjtj;clique;2026-09-20T05:21:00;
h2efs4evhc3mapli;clique;2026-09-20T08:04:00;
e3gddtr3vrb4uw2c;clique;2026-09-20T08:17:00;
e3gddtr3vrb4uw2c;login;2026-09-20T08:23:00;
e3gddtr3vrb4uw2c;acordo;2026-09-20T08:37:00;2554.45
s2bizwsus3qrsy34;clique;2026-09-20T09:09:00;
abknrfnyqlbpg5ag;clique;2026-09-20T09:57:00;
awokuuu74cvdd3sf;clique;2026-09-20T10:03:00;
3xxfb37v6souaupq;clique;2026-09-20T10:07:00;
3xxfb37v6souaupq;login;2026-09-20T10:10:00;
zqfhgmbz4qz6iump;clique;2026-09-20T10:22:00;
3xxfb37v6souaupq;acordo;2026-09-20T10:29:00;2140.18
wnabpgqybvkg664x;clique;2026-09-20T14:47:00;
siuu3777pw3thp2f;clique;2026-09-20T14:58:00;
zpjvfr4djed5wwgk;clique;2026-09-20T15:27:00;
zpjvfr4djed5wwgk;login;2026-09-20T15:33:00;
zpjvfr4djed5wwgk;acordo;2026-09-20T15:46:00;2193.14
vaxltfx2txpxhtsz;clique;2026-09-20T17:27:00;
arhdlq6tokjpvx7r;clique;2026-09-20T18:33:00;
arhdlq6tokjpvx7r;login;2026-09-20T18:37:00;
iruw7kd5q5wac4wm;clique;2026-09-20T18:56:00;
iruw7kd5q5wac4wm;login;2026-09-20T19:04:00;
knzoi5k42nwdbpp7;clique;2026-09-20T19:10:00;
xojlu5w4g4fexjas;clique;2026-09-20T19:23:00;
rqy7qgvm3i7kwxun;clique;2026-09-20T20:03:00;
gdebogsaubaj6uqo;clique;2026-09-20T20:06:00;
rqy7qgvm3i7kwxun;login;2026-09-20T20:09:00;
lvjqvpdgbkqpemdc;clique;2026-09-20T20:52:00;
jkh4cgt4glvsqvxc;clique;2026-09-20T21:04:00;
jkh4cgt4glvsqvxc;login;2026-09-20T21:10:00;
p2nwfimjrx76tocv;clique;2026-09-20T21:21:00;
wwyczernntjisrqi;clique;2026-09-20T21:41:00;
wwyczernntjisrqi;login;2026-09-20T21:49:00;
75h5gtdfdsnz7fyi;clique;2026-09-20T21:51:00;
75h5gtdfdsnz7fyi;login;2026-09-20T21:53:00;
7jgrxcmucmiueymv;clique;2026-09-20T22:00:00;
7jgrxcmucmiueymv;login;2026-09-20T22:02:00;
7jgrxcmucmiueymv;acordo;2026-09-20T22:06:00;1197.18
p7s7r3hpyfvzkfao;clique;2026-09-20T23:40:00;
5zquqatbhgs4quaw;clique;2026-09-21T00:55:00;
t7rub42wsnccd76u;clique;2026-09-21T01:03:00;
t7rub42wsnccd76u;login;2026-09-21T01:04:00;
t7rub42wsnccd76u;acordo;2026-09-21T01:16:00;1671.73
rwhbipjbff3i3f3x;clique;2026-09-21T02:47:00;
rwhbipjbff3i3f3x;login;2026-09-21T02:51:00;
h2efs4evhc3mapli;clique;2026-09-21T08:04:00;
7lgnsxx63gphkax3;clique;2026-09-21T08:16:00;
7lgnsxx63gphkax3;login;2026-09-21T08:18:00;
ewbh4pdbxkjx7i72;clique;2026-09-21T08:53:00;
yyyz6b7ee6ednnt3;clique;2026-09-21T09:18:00;
zr5utbvffrjzizeh;clique;2026-09-21T09:39:00;
zr5utbvffrjzizeh;login;2026-09-21T09:42:00;
lr7o4pffm3tnazus;clique;2026-09-21T09:43:00;
zr5utbvffrjzizeh;acordo;2026-09-21T09:47:00;256.76
lr7o4pffm3tnazus;login;2026-09-21T09:53:00;
4l2mro6olq2q5ea3;clique;2026-09-21T11:50:00;
4l2mro6olq2q5ea3;login;2026-09-21T11:52:00;
lflpfkwayvpnsyww;clique;2026-09-21T12:14:00;
lflpfkwayvpnsyww;login;2026-09-21T12:19:00;
rwcraakryg7qfzjz;clique;2026-09-21T13:39:00;
hmhz257pvtsqgrcz;clique;2026-09-21T13:50:00;
hmhz257pvtsqgrcz;login;2026-09-21T13:59:00;
fsn6bpvgwu4m6yow;clique;2026-09-21T14:08:00;
fsn6bpvgwu4m6yow;login;2026-09-21T14:10:00;
qjr3acvt3egacrom;clique;2026-09-21T14:33:00;
z7q7ym42ohvx4us2;clique;2026-09-21T15:37:00;
mdl7ejzft7ecyoc3;clique;2026-09-21T15:49:00;
7ra4niyagcyjppzr;clique;2026-09-21T17:48:00;
xcomfcb4g5fwgwzt;clique;2026-09-21T17:57:00;
xcomfcb4g5fwgwzt;login;2026-09-21T18:03:00;
23ori4wihgut3n6k;clique;2026-09-21T18:28:00;
23ori4wihgut3n6k;login;2026-09-21T18:31:00;
7ixrm73fsi427jdc;clique;2026-09-21T21:26:00;
7ixrm73fsi427jdc;login;2026-09-21T21:36:00;
thkijqqzx7mgugge;clique;2026-09-21T23:18:00;
qd2uhhr223hqskck;clique;2026-09-22T00:09:00;
zxm36jw4yvbgqi72;clique;2026-09-22T01:18:00;
rwhbipjbff3i3f3x;clique;2026-09-22T02:51:00;
ftukshkqcpt4qmfl;clique;2026-09-22T03:31:00;
ftukshkqcpt4qmfl;login;2026-09-22T03:40:00;
ftukshkqcpt4qmfl;acordo;2026-09-22T03:56:00;1854.97
rcqd27hhxrvzxlqo;clique;2026-09-22T04:16:00;
rcqd27hhxrvzxlqo;login;2026-09-22T04:24:00;
imdmugo5kuwpyiwy;clique;2026-09-22T05:14:00;
zr5utbvffrjzizeh;clique;2026-09-22T09:47:00;
xvt3jntq6nznd2ck;clique;2026-09-22T10:29:00;
xvt3jntq6nznd2ck;login;2026-09-22T10:33:00;
xvt3jntq6nznd2ck;acordo;2026-09-22T10:42:00;210.64
s6bu2yhe2yo42fek;clique;2026-09-22T11:04:00;
s6bu2yhe2yo42fek;login;2026-09-22T11:11:00;
wgtoevdx6vda7i3x;clique;2026-09-22T13:48:00;
u4wng7et2d4dghg4;clique;2026-09-22T13:56:00;
u4wng7et2d4dghg4;login;2026-09-22T13:57:00;
hmhz257pvtsqgrcz;clique;2026-09-22T13:59:00;
u4wng7et2d4dghg4;acordo;2026-09-22T14:10:00;1497.33
z7q7ym42ohvx4us2;clique;2026-09-22T15:37:00;
a4paabieywroratn;clique;2026-09-22T16:29:00;
a4paabieywroratn;login;2026-09-22T16:30:00;
a4paabieywroratn;acordo;2026-09-22T16:36:00;2300.83
7ra4niyagcyjppzr;clique;2026-09-22T17:48:00;
m65mpmm27f44ruh6;clique;2026-09-22T18:57:00;
d3z7nbouwdk24sgt;clique;2026-09-22T20:03:00;
d3z7nbouwdk24sgt;login;2026-09-22T20:09:00;
c3jxhx7zztdxoux3;clique;2026-09-22T20:27:00;
c3jxhx7zztdxoux3;login;2026-09-22T20:30:00;
y766sdoegi7peyj2;clique;2026-09-22T20:35:00;
lpbomjv44p4iviz2;clique;2026-09-22T20:54:00;
gzb4i3ilrvuikbfz;clique;2026-09-22T21:06:00;
bb3zzc5fggw4jxvw;clique;2026-09-22T22:07:00;
3zhgdnwylgthjfkh;clique;2026-09-22T23:42:00;
qkpueqnmods6g4iw;clique;2026-09-23T01:34:00;
qkpueqnmods6g4iw;login;2026-09-23T01:39:00;
a4paabieywroratn;clique;2026-09-23T16:36:00;
bb3zzc5fggw4jxvw;clique;2026-09-23T22:07:00;
tokenadulterado0;login;2026-09-25T10:00:00;
