data,id_cliente,tag_anterior,tag,motivo,quem_marcou
2026-08-04,C0000355,S260803-B2-LOC-ND-L0,S260803-B2-LOC-ND-L1,localização por WhatsApp sem contato,WhatsApp
2026-08-05,C0000002,,S260805-B1-LOC-ND-L0,entrada na esteira; enriquecimento básico,Planejamento
2026-08-05,C0000009,,S260805-M1-LOC-ND-L0,entrada na esteira; enriquecimento completo,Planejamento
2026-08-05,C0000080,,S260805-M3-LOC-ND-L0,entrada na esteira; enriquecimento básico,Planejamento
2026-08-05,C0000084,,S260805-M3-LOC-ND-L0,entrada na esteira; enriquecimento básico,Planejamento
2026-08-05,C0000151,,S260805-M1-LOC-ND-L0,entrada na esteira; enriquecimento completo,Planejamento
2026-08-05,C0000177,,S260805-B2-LOC-ND-L0,entrada na esteira; enriquecimento básico,Planejamento
2026-08-05,C0000181,,S260805-B2-LOC-ND-L0,entrada na esteira; enriquecimento básico,Planejamento
2026-08-05,C0000194,,S260805-A2-LOC-ND-L0,entrada na esteira; enriquecimento completo + novos telefones,Planejamento
2026-08-05,C0000244,,S260805-B3-LOC-ND-L0,entrada na esteira; enriquecimento só digital,Planejamento
2026-08-05,C0000283,,S260805-B2-LOC-ND-L0,entrada na esteira; enriquecimento básico,Planejamento
2026-08-05,C0000285,,S260805-B1-LOC-ND-L0,entrada na esteira; enriquecimento básico,Planejamento
2026-08-05,C0000038,S260804-A1-LOC-ND-L0,S260804-A1-LOC-ND-L1,localização por WhatsApp sem contato,WhatsApp
2026-08-05,C0000054,S260804-B2-LOC-ND-L0,S260804-B2-LOC-ND-L1,localização por WhatsApp sem contato,WhatsApp
2026-08-05,C0000139,S260804-M1-LOC-ND-L0,S260804-M1-LOC-ND-L1,localização por WhatsApp sem contato,WhatsApp
2026-08-05,C0000150,S260804-B2-LOC-ND-L0,S260804-B2-LOC-ND-L1,localização por WhatsApp sem contato,WhatsApp
2026-08-05,C0000182,S260804-B3-LOC-ND-L0,S260804-B3-LOC-ND-L1,localização por WhatsApp sem contato,WhatsApp
2026-08-05,C0000201,S260804-M3-LOC-ND-L0,S260804-M3-LOC-ND-L1,localização por WhatsApp sem contato,WhatsApp
2026-08-05,C0000250,S260804-M1-LOC-ND-L0,S260804-M1-LOC-ND-L1,localização por WhatsApp sem contato,WhatsApp
2026-08-05,C0000293,S260804-B2-LOC-ND-L0,S260804-B2-LOC-ND-L1,localização por WhatsApp sem contato,WhatsApp
2026-08-05,C0000348,S260804-A1-LOC-ND-L0,S260804-A1-LOC-ND-L1,localização por WhatsApp sem contato,WhatsApp
2026-08-05,C0000351,S260804-M3-LOC-ND-L0,S260804-M3-LOC-ND-L1,localização por WhatsApp sem contato,WhatsApp
2026-08-05,C0000390,S260804-A2-LOC-ND-L0,S260804-A2-LOC-ND-L1,localização por WhatsApp sem contato,WhatsApp
2026-08-06,C0000019,,S260806-B1-LOC-ND-L0,entrada na esteira; enriquecimento básico,Planejamento
2026-08-06,C0000022,,S260806-B1-LOC-ND-L0,entrada na esteira; enriquecimento básico,Planejamento
2026-08-06,C0000026,,S260806-B1-LOC-ND-L0,entrada na esteira; enriquecimento básico,Planejamento
2026-08-06,C0000061,,S260806-B1-LOC-ND-L0,entrada na esteira; enriquecimento básico,Planejamento
2026-08-06,C0000067,,S260806-M1-LOC-ND-L0,entrada na esteira; enriquecimento completo,Planejamento
2026-08-06,C0000103,,S260806-A1-LOC-ND-L0,entrada na esteira; enriquecimento completo,Planejamento
2026-08-06,C0000119,,S260806-M2-LOC-ND-L0,entrada na esteira; enriquecimento básico + WhatsApp válido,Planejamento
2026-08-06,C0000137,,S260806-A1-LOC-ND-L0,entrada na esteira; enriquecimento completo,Planejamento
2026-08-06,C0000163,,S260806-M1-LOC-ND-L0,entrada na esteira; enriquecimento completo,Planejamento
2026-08-06,C0000200,,S260806-M1-LOC-ND-L0,entrada na esteira; enriquecimento completo,Planejamento
2026-08-06,C0000216,,S260806-A1-LOC-ND-L0,entrada na esteira; enriquecimento completo,Planejamento
2026-08-06,C0000218,,S260806-B1-LOC-ND-L0,entrada na esteira; enriquecimento básico,Planejamento
2026-08-06,C0000227,,S260806-B3-LOC-ND-L0,entrada na esteira; enriquecimento só digital,Planejamento
2026-08-06,C0000234,,S260806-A1-LOC-ND-L0,entrada na esteira; enriquecimento completo,Planejamento
2026-08-06,C0000261,,S260806-M1-LOC-ND-L0,entrada na esteira; enriquecimento completo,Planejamento
2026-08-06,C0000287,,S260806-B2-LOC-ND-L0,entrada na esteira; enriquecimento básico,Planejamento
2026-08-06,C0000288,,S260806-M2-LOC-ND-L0,entrada na esteira; enriquecimento básico + WhatsApp válido,Planejamento
2026-08-06,C0000331,,S260806-B2-LOC-ND-L0,entrada na esteira; enriquecimento básico,Planejamento
2026-08-06,C0000333,,S260806-A2-LOC-ND-L0,entrada na esteira; enriquecimento completo + novos telefones,Planejamento
2026-08-06,C0000350,,S260806-B3-LOC-ND-L0,entrada na esteira; enriquecimento só digital,Planejamento
2026-08-06,C0000013,S260803-M2-LOC-ND-L1,S260803-M2-LOC-ND-L3,localização por RCS sem contato,RCS
2026-08-06,C0000072,S260803-A2-LOC-ND-L0,S260803-A2-LOC-ND-L3,localização por RCS sem contato,RCS
2026-08-06,C0000082,S260803-B2-LOC-ND-L1,S260803-B2-LOC-ND-L3,localização por RCS sem contato,RCS
2026-08-06,C0000096,S260803-M2-LOC-ND-L1,S260803-M2-LOC-ND-L3,localização por RCS sem contato,RCS
2026-08-06,C0000136,S260803-B1-LOC-ND-L1,S260803-B1-LOC-ND-L3,localização por RCS sem contato,RCS
2026-08-06,C0000156,S260803-M3-LOC-ND-L0,S260803-M3-LOC-ND-L3,localização por RCS sem contato,RCS
2026-08-06,C0000197,S260803-M2-LOC-ND-L1,S260803-M2-LOC-ND-L3,localização por RCS sem contato,RCS
2026-08-06,C0000208,S260803-A3-LOC-ND-L1,S260803-A3-LOC-ND-L3,localização por RCS sem contato,RCS
2026-08-06,C0000300,S260803-M1-LOC-ND-L1,S260803-M1-LOC-ND-L3,localização por RCS sem contato,RCS
2026-08-06,C0000343,S260803-M2-LOC-ND-L1,S260803-M2-LOC-ND-L3,localização por RCS sem contato,RCS
2026-08-06,C0000347,S260803-M1-CPA-WA-T1,S260803-M1-CPB-WA-T1,sem resposta na ação de negociação → CPC B,WhatsApp
2026-08-06,C0000355,S260803-B2-LOC-ND-L1,S260803-B2-LOC-ND-L3,localização por RCS sem contato,RCS
2026-08-06,C0000002,S260805-B1-LOC-ND-L0,S260805-B1-LOC-ND-L1,localização por WhatsApp sem contato,WhatsApp
2026-08-06,C0000009,S260805-M1-LOC-ND-L0,S260805-M1-LOC-ND-L1,localização por WhatsApp sem contato,WhatsApp
2026-08-06,C0000080,S260805-M3-LOC-ND-L0,S260805-M3-LOC-ND-L1,localização por WhatsApp sem contato,WhatsApp
2026-08-06,C0000084,S260805-M3-LOC-ND-L0,S260805-M3-LOC-ND-L1,localização por WhatsApp sem contato,WhatsApp
2026-08-06,C0000151,S260805-M1-LOC-ND-L0,S260805-M1-CPA-WA-T1,contato no WhatsApp → CPC A,WhatsApp
2026-08-06,C0000151,S260805-M1-CPA-WA-T1,S260805-M1-COL-WA,acordo ativo (colchão),Sist. acordos
2026-08-06,C0000177,S260805-B2-LOC-ND-L0,S260805-B2-LOC-ND-L1,localização por WhatsApp sem contato,WhatsApp
2026-08-06,C0000244,S260805-B3-LOC-ND-L0,S260805-B3-LOC-ND-L1,localização por WhatsApp sem contato,WhatsApp
2026-08-06,C0000283,S260805-B2-LOC-ND-L0,S260805-B2-LOC-ND-L1,localização por WhatsApp sem contato,WhatsApp
2026-08-06,C0000285,S260805-B1-LOC-ND-L0,S260805-B1-LOC-ND-L1,localização por WhatsApp sem contato,WhatsApp
2026-08-07,C0000063,,S260807-B1-LOC-ND-L0,entrada na esteira; enriquecimento básico,Planejamento
2026-08-07,C0000069,,S260807-M2-LOC-ND-L0,entrada na esteira; enriquecimento básico + WhatsApp válido,Planejamento
2026-08-07,C0000092,,S260807-A1-LOC-ND-L0,entrada na esteira; enriquecimento completo,Planejamento
2026-08-07,C0000113,,S260807-M2-LOC-ND-L0,entrada na esteira; enriquecimento básico + WhatsApp válido,Planejamento
2026-08-07,C0000144,,S260807-M1-LOC-ND-L0,entrada na esteira; enriquecimento completo,Planejamento
2026-08-07,C0000166,,S260807-M2-LOC-ND-L0,entrada na esteira; enriquecimento básico + WhatsApp válido,Planejamento
2026-08-07,C0000202,,S260807-M1-LOC-ND-L0,entrada na esteira; enriquecimento completo,Planejamento
2026-08-07,C0000225,,S260807-A1-LOC-ND-L0,entrada na esteira; enriquecimento completo,Planejamento
2026-08-07,C0000239,,S260807-B3-LOC-ND-L0,entrada na esteira; enriquecimento só digital,Planejamento
2026-08-07,C0000241,,S260807-M3-LOC-ND-L0,entrada na esteira; enriquecimento básico,Planejamento
2026-08-07,C0000266,,S260807-A1-LOC-ND-L0,entrada na esteira; enriquecimento completo,Planejamento
2026-08-07,C0000314,,S260807-A2-LOC-ND-L0,entrada na esteira; enriquecimento completo + novos telefones,Planejamento
2026-08-07,C0000357,,S260807-M1-LOC-ND-L0,entrada na esteira; enriquecimento completo,Planejamento
2026-08-07,C0000364,,S260807-A1-LOC-ND-L0,entrada na esteira; enriquecimento completo,Planejamento
2026-08-07,C0000020,S260804-B3-LOC-ND-L0,S260804-B3-LOC-ND-L3,localização por RCS sem contato,RCS
2026-08-07,C0000038,S260804-A1-LOC-ND-L1,S260804-A1-LOC-ND-L3,localização por RCS sem contato,RCS
2026-08-07,C0000054,S260804-B2-LOC-ND-L1,S260804-B2-CPA-RC-T1,contato no RCS → CPC A,RCS
2026-08-07,C0000054,S260804-B2-CPA-RC-T1,S260804-B2-COL-RC,acordo ativo (colchão),Sist. acordos
2026-08-07,C0000139,S260804-M1-LOC-ND-L1,S260804-M1-LOC-ND-L3,localização por RCS sem contato,RCS
2026-08-07,C0000150,S260804-B2-LOC-ND-L1,S260804-B2-LOC-ND-L3,localização por RCS sem contato,RCS
2026-08-07,C0000182,S260804-B3-LOC-ND-L1,S260804-B3-LOC-ND-L3,localização por RCS sem contato,RCS
2026-08-07,C0000201,S260804-M3-LOC-ND-L1,S260804-M3-CPA-RC-T1,contato no RCS → CPC A,RCS
2026-08-07,C0000250,S260804-M1-LOC-ND-L1,S260804-M1-CPA-RC-T1,contato no RCS → CPC A,RCS
2026-08-07,C0000293,S260804-B2-LOC-ND-L1,S260804-B2-LOC-ND-L3,localização por RCS sem contato,RCS
2026-08-07,C0000348,S260804-A1-LOC-ND-L1,S260804-A1-LOC-ND-L3,localização por RCS sem contato,RCS
2026-08-07,C0000351,S260804-M3-LOC-ND-L1,S260804-M3-LOC-ND-L3,localização por RCS sem contato,RCS
2026-08-07,C0000390,S260804-A2-LOC-ND-L1,S260804-A2-LOC-ND-L3,localização por RCS sem contato,RCS
2026-08-07,C0000019,S260806-B1-LOC-ND-L0,S260806-B1-LOC-ND-L1,localização por WhatsApp sem contato,WhatsApp
2026-08-07,C0000022,S260806-B1-LOC-ND-L0,S260806-B1-LOC-ND-L1,localização por WhatsApp sem contato,WhatsApp
2026-08-07,C0000061,S260806-B1-LOC-ND-L0,S260806-B1-LOC-ND-L1,localização por WhatsApp sem contato,WhatsApp
2026-08-07,C0000067,S260806-M1-LOC-ND-L0,S260806-M1-LOC-ND-L1,localização por WhatsApp sem contato,WhatsApp
2026-08-07,C0000103,S260806-A1-LOC-ND-L0,S260806-A1-LOC-ND-L1,localização por WhatsApp sem contato,WhatsApp
2026-08-07,C0000137,S260806-A1-LOC-ND-L0,S260806-A1-LOC-ND-L1,localização por WhatsApp sem contato,WhatsApp
2026-08-07,C0000163,S260806-M1-LOC-ND-L0,S260806-M1-LOC-ND-L1,localização por WhatsApp sem contato,WhatsApp
2026-08-07,C0000200,S260806-M1-LOC-ND-L0,S260806-M1-LOC-ND-L1,localização por WhatsApp sem contato,WhatsApp
2026-08-07,C0000216,S260806-A1-LOC-ND-L0,S260806-A1-LOC-ND-L1,localização por WhatsApp sem contato,WhatsApp
2026-08-07,C0000218,S260806-B1-LOC-ND-L0,S260806-B1-LOC-ND-L1,localização por WhatsApp sem contato,WhatsApp
2026-08-07,C0000227,S260806-B3-LOC-ND-L0,S260806-B3-LOC-ND-L1,localização por WhatsApp sem contato,WhatsApp
2026-08-07,C0000234,S260806-A1-LOC-ND-L0,S260806-A1-LOC-ND-L1,localização por WhatsApp sem contato,WhatsApp
2026-08-07,C0000287,S260806-B2-LOC-ND-L0,S260806-B2-LOC-ND-L1,localização por WhatsApp sem contato,WhatsApp
2026-08-07,C0000331,S260806-B2-LOC-ND-L0,S260806-B2-LOC-ND-L1,localização por WhatsApp sem contato,WhatsApp
2026-08-07,C0000333,S260806-A2-LOC-ND-L0,S260806-A2-LOC-ND-L1,localização por WhatsApp sem contato,WhatsApp
2026-08-07,C0000350,S260806-B3-LOC-ND-L0,S260806-B3-LOC-ND-L1,localização por WhatsApp sem contato,WhatsApp
2026-08-07,C0000314,S260807-A2-LOC-ND-L0,S260807-A2-BLQ-ND,bloqueado: opt-out geral,Planejamento
2026-08-08,C0000015,,S260808-M2-LOC-ND-L0,entrada na esteira; enriquecimento básico + WhatsApp válido,Planejamento
2026-08-08,C0000097,,S260808-B3-LOC-ND-L0,entrada na esteira; enriquecimento só digital,Planejamento
2026-08-08,C0000101,,S260808-B1-LOC-ND-L0,entrada na esteira; enriquecimento básico,Planejamento
2026-08-08,C0000189,,S260808-B2-LOC-ND-L0,entrada na esteira; enriquecimento básico,Planejamento
2026-08-08,C0000198,,S260808-B3-LOC-ND-L0,entrada na esteira; enriquecimento só digital,Planejamento
2026-08-08,C0000226,,S260808-A3-LOC-ND-L0,entrada na esteira; enriquecimento completo + localizador,Planejamento
2026-08-08,C0000249,,S260808-B2-LOC-ND-L0,entrada na esteira; enriquecimento básico,Planejamento
2026-08-08,C0000279,,S260808-B3-LOC-ND-L0,entrada na esteira; enriquecimento só digital,Planejamento
2026-08-08,C0000353,,S260808-M3-LOC-ND-L0,entrada na esteira; enriquecimento básico,Planejamento
2026-08-08,C0000372,,S260808-A2-LOC-ND-L0,entrada na esteira; enriquecimento completo + novos telefones,Planejamento
2026-08-08,C0000375,,S260808-B1-LOC-ND-L0,entrada na esteira; enriquecimento básico,Planejamento
2026-08-08,C0000013,S260803-M2-LOC-ND-L3,S260803-M2-LOC-ND-L5,localização por Agente virtual+Discador sem contato,Agente virtual
2026-08-08,C0000072,S260803-A2-LOC-ND-L3,S260803-A2-LOC-ND-L5,localização por Agente virtual+Discador sem contato,Agente virtual
2026-08-08,C0000082,S260803-B2-LOC-ND-L3,S260803-B2-LOC-ND-L5,localização por Agente virtual+Discador sem contato,Agente virtual
2026-08-08,C0000096,S260803-M2-LOC-ND-L3,S260803-M2-LOC-ND-L5,localização por Agente virtual+Discador sem contato,Agente virtual
2026-08-08,C0000136,S260803-B1-LOC-ND-L3,S260803-B1-LOC-ND-L5,localização por Agente virtual+Discador sem contato,Agente virtual
2026-08-08,C0000156,S260803-M3-LOC-ND-L3,S260803-M3-LOC-ND-L5,localização por Agente virtual+Discador sem contato,Agente virtual
2026-08-08,C0000197,S260803-M2-LOC-ND-L3,S260803-M2-LOC-ND-L5,localização por Agente virtual+Discador sem contato,Agente virtual
2026-08-08,C0000208,S260803-A3-LOC-ND-L3,S260803-A3-LOC-ND-L5,localização por Agente virtual+Discador sem contato,Agente virtual
2026-08-08,C0000300,S260803-M1-LOC-ND-L3,S260803-M1-LOC-ND-L5,localização por Agente virtual+Discador sem contato,Agente virtual
2026-08-08,C0000312,S260803-A1-CPA-WA-T1,S260803-A1-CPB-WA-T1,sem resposta na ação de negociação → CPC B,WhatsApp
2026-08-08,C0000343,S260803-M2-LOC-ND-L3,S260803-M2-LOC-ND-L5,localização por Agente virtual+Discador sem contato,Agente virtual
2026-08-08,C0000347,S260803-M1-CPB-WA-T1,S260803-M1-CPB-WA-T2,2ª tentativa no canal sem resposta,WhatsApp
2026-08-08,C0000355,S260803-B2-LOC-ND-L3,S260803-B2-LOC-ND-L5,localização por Agente virtual+Discador sem contato,Agente virtual
2026-08-08,C0000002,S260805-B1-LOC-ND-L1,S260805-B1-LOC-ND-L3,localização por RCS sem contato,RCS
2026-08-08,C0000009,S260805-M1-LOC-ND-L1,S260805-M1-LOC-ND-L3,localização por RCS sem contato,RCS
2026-08-08,C0000080,S260805-M3-LOC-ND-L1,S260805-M3-LOC-ND-L3,localização por RCS sem contato,RCS
2026-08-08,C0000084,S260805-M3-LOC-ND-L1,S260805-M3-LOC-ND-L3,localização por RCS sem contato,RCS
2026-08-08,C0000177,S260805-B2-LOC-ND-L1,S260805-B2-LOC-ND-L3,localização por RCS sem contato,RCS
2026-08-08,C0000181,S260805-B2-LOC-ND-L0,S260805-B2-LOC-ND-L3,localização por RCS sem contato,RCS
2026-08-08,C0000194,S260805-A2-LOC-ND-L0,S260805-A2-LOC-ND-L3,localização por RCS sem contato,RCS
2026-08-08,C0000244,S260805-B3-LOC-ND-L1,S260805-B3-LOC-ND-L3,localização por RCS sem contato,RCS
2026-08-08,C0000283,S260805-B2-LOC-ND-L1,S260805-B2-LOC-ND-L3,localização por RCS sem contato,RCS
2026-08-08,C0000285,S260805-B1-LOC-ND-L1,S260805-B1-LOC-ND-L3,localização por RCS sem contato,RCS
2026-08-08,C0000063,S260807-B1-LOC-ND-L0,S260807-B1-LOC-ND-L1,localização por WhatsApp sem contato,WhatsApp
2026-08-08,C0000069,S260807-M2-LOC-ND-L0,S260807-M2-LOC-ND-L1,localização por WhatsApp sem contato,WhatsApp
2026-08-08,C0000113,S260807-M2-LOC-ND-L0,S260807-M2-LOC-ND-L1,localização por WhatsApp sem contato,WhatsApp
2026-08-08,C0000144,S260807-M1-LOC-ND-L0,S260807-M1-LOC-ND-L1,localização por WhatsApp sem contato,WhatsApp
2026-08-08,C0000166,S260807-M2-LOC-ND-L0,S260807-M2-CPA-WA-T1,contato no WhatsApp → CPC A,WhatsApp
2026-08-08,C0000202,S260807-M1-LOC-ND-L0,S260807-M1-LOC-ND-L1,localização por WhatsApp sem contato,WhatsApp
2026-08-08,C0000239,S260807-B3-LOC-ND-L0,S260807-B3-LOC-ND-L1,localização por WhatsApp sem contato,WhatsApp
2026-08-08,C0000241,S260807-M3-LOC-ND-L0,S260807-M3-LOC-ND-L1,localização por WhatsApp sem contato,WhatsApp
2026-08-08,C0000266,S260807-A1-LOC-ND-L0,S260807-A1-LOC-ND-L1,localização por WhatsApp sem contato,WhatsApp
2026-08-08,C0000357,S260807-M1-LOC-ND-L0,S260807-M1-LOC-ND-L1,localização por WhatsApp sem contato,WhatsApp
2026-08-08,C0000364,S260807-A1-LOC-ND-L0,S260807-A1-LOC-ND-L1,localização por WhatsApp sem contato,WhatsApp
2026-08-08,C0000372,S260808-A2-LOC-ND-L0,S260808-A2-BLQ-ND,bloqueado: opt-out geral,Planejamento
2026-08-09,C0000070,,S260809-M1-LOC-ND-L0,entrada na esteira; enriquecimento completo,Planejamento
2026-08-09,C0000138,,S260809-M1-LOC-ND-L0,entrada na esteira; enriquecimento completo,Planejamento
2026-08-09,C0000178,,S260809-B3-LOC-ND-L0,entrada na esteira; enriquecimento só digital,Planejamento
2026-08-09,C0000203,,S260809-B1-LOC-ND-L0,entrada na esteira; enriquecimento básico,Planejamento
2026-08-09,C0000210,,S260809-M3-LOC-ND-L0,entrada na esteira; enriquecimento básico,Planejamento
2026-08-09,C0000233,,S260809-M2-LOC-ND-L0,entrada na esteira; enriquecimento básico + WhatsApp válido,Planejamento
2026-08-09,C0000273,,S260809-M2-LOC-ND-L0,entrada na esteira; enriquecimento básico + WhatsApp válido,Planejamento
2026-08-09,C0000289,,S260809-B1-LOC-ND-L0,entrada na esteira; enriquecimento básico,Planejamento
2026-08-09,C0000295,,S260809-M1-LOC-ND-L0,entrada na esteira; enriquecimento completo,Planejamento
2026-08-09,C0000337,,S260809-B3-LOC-ND-L0,entrada na esteira; enriquecimento só digital,Planejamento
2026-08-10,C0000107,,S260810-M1-LOC-ND-L0,entrada na esteira; enriquecimento completo,Planejamento
2026-08-10,C0000126,,S260810-B3-LOC-ND-L0,entrada na esteira; enriquecimento só digital,Planejamento
2026-08-10,C0000127,,S260810-M3-LOC-ND-L0,entrada na esteira; enriquecimento básico,Planejamento
2026-08-10,C0000255,,S260810-B2-LOC-ND-L0,entrada na esteira; enriquecimento básico,Planejamento
2026-08-10,C0000282,,S260810-B1-LOC-ND-L0,entrada na esteira; enriquecimento básico,Planejamento
2026-08-10,C0000311,,S260810-B1-LOC-ND-L0,entrada na esteira; enriquecimento básico,Planejamento
2026-08-10,C0000359,,S260810-B1-LOC-ND-L0,entrada na esteira; enriquecimento básico,Planejamento
2026-08-10,C0000382,,S260810-M3-LOC-ND-L0,entrada na esteira; enriquecimento básico,Planejamento
2026-08-10,C0000013,S260803-M2-LOC-ND-L5,S260803-M2-LOC-ND-L7,localização por SMS sem contato,SMS
2026-08-10,C0000072,S260803-A2-LOC-ND-L5,S260803-A2-LOC-ND-L7,localização por SMS+E-mail sem contato,SMS
2026-08-10,C0000082,S260803-B2-LOC-ND-L5,S260803-B2-LOC-ND-L7,localização por SMS sem contato,SMS
2026-08-10,C0000096,S260803-M2-LOC-ND-L5,S260803-M2-LOC-ND-L7,localização por SMS+E-mail sem contato,SMS
2026-08-10,C0000136,S260803-B1-LOC-ND-L5,S260803-B1-LOC-ND-L7,localização por SMS+E-mail sem contato,SMS
2026-08-10,C0000156,S260803-M3-LOC-ND-L5,S260803-M3-LOC-ND-L7,localização por SMS sem contato,SMS
2026-08-10,C0000197,S260803-M2-LOC-ND-L5,S260803-M2-LOC-ND-L7,localização por SMS+E-mail sem contato,SMS
2026-08-10,C0000208,S260803-A3-LOC-ND-L5,S260803-A3-LOC-ND-L7,localização por SMS+E-mail sem contato,SMS
2026-08-10,C0000300,S260803-M1-LOC-ND-L5,S260803-M1-LOC-ND-L7,localização por SMS+E-mail sem contato,SMS
2026-08-10,C0000312,S260803-A1-CPB-WA-T1,S260803-A1-CPB-WA-T2,2ª tentativa no canal sem resposta,WhatsApp
2026-08-10,C0000347,S260803-M1-CPB-WA-T2,S260803-M1-CPB-WA-T3,3ª tentativa no canal sem resposta,WhatsApp
2026-08-10,C0000355,S260803-B2-LOC-ND-L5,S260803-B2-LOC-ND-L7,localização por SMS+E-mail sem contato,SMS
2026-08-10,C0000201,S260804-M3-CPA-RC-T1,S260804-M3-CPB-RC-T1,sem resposta na ação de negociação → CPC B,RCS
2026-08-10,C0000250,S260804-M1-CPA-RC-T1,S260804-M1-CPB-RC-T1,sem resposta na ação de negociação → CPC B,RCS
2026-08-10,C0000002,S260805-B1-LOC-ND-L3,S260805-B1-LOC-ND-L5,localização por Agente virtual+Discador sem contato,Agente virtual
2026-08-10,C0000009,S260805-M1-LOC-ND-L3,S260805-M1-LOC-ND-L5,localização por Agente virtual+Discador sem contato,Agente virtual
2026-08-10,C0000080,S260805-M3-LOC-ND-L3,S260805-M3-CPA-AV-T1,contato no Agente virtual → CPC A,Agente virtual
2026-08-10,C0000084,S260805-M3-LOC-ND-L3,S260805-M3-LOC-ND-L5,localização por Agente virtual+Discador sem contato,Agente virtual
2026-08-10,C0000151,S260805-M1-COL-WA,S260805-M1-PRE-WA-D-3,parcela a vencer,Sist. acordos
2026-08-10,C0000177,S260805-B2-LOC-ND-L3,S260805-B2-LOC-ND-L5,localização por Agente virtual+Discador sem contato,Agente virtual
