id_cliente,tag,cluster_origem,cluster_atual,estado,reenriquecer
C0000126,S260810-B3-NCP-ND-RE,B3,B3,NCP,3 ciclos de giro sem contato
C0000127,S260810-M3-NCP-ND-RE,M3,M3,NCP,3 ciclos de giro sem contato
C0000255,S260810-B2-CPB-WA-T3,B2,B2,CPB,
C0000282,S260810-B1-NCP-ND-RE,B1,B1,NCP,3 ciclos de giro sem contato
C0000311,S260810-B1-NCP-ND-RE,B1,B1,NCP,3 ciclos de giro sem contato
C0000359,S260810-B1-LIQ-RC,B1,B1,LIQ,
C0000382,S260810-M3-COL-DC,M3,M3,COL,
C0000046,S260811-A1-CPB-DC-T2,A1,A1,CPB,
C0000050,S260811-A2-NCP-ND-RE,A1,A2,NCP,3 ciclos de giro sem contato
C0000077,S260811-B3-NCP-ND-RE,B3,B3,NCP,3 ciclos de giro sem contato
C0000098,S260811-M3-NCP-ND-RE,M3,M3,NCP,3 ciclos de giro sem contato
C0000111,S260811-A1-LIQ-DC,A1,A1,LIQ,
C0000122,S260811-A1-COL-AV,A1,A1,COL,
C0000147,S260811-B1-NCP-ND-RE,B1,B1,NCP,3 ciclos de giro sem contato
C0000155,S260811-B3-COL-RC,B3,B3,COL,
C0000169,S260811-B3-NCP-ND-RE,B3,B3,NCP,3 ciclos de giro sem contato
C0000184,S260811-M2-COL-WA,M1,M2,COL,
C0000213,S260811-M3-NCP-ND-RE,M3,M3,NCP,3 ciclos de giro sem contato
C0000272,S260811-M2-NCP-ND-RE,M2,M2,NCP,3 ciclos de giro sem contato
C0000281,S260811-M2-CPB-DC-T1,M2,M2,CPB,
C0000338,S260811-B1-NCP-ND-RE,B1,B1,NCP,3 ciclos de giro sem contato
C0000384,S260811-B2-CPA-WA-T1,B2,B2,CPA,
C0000395,S260811-B1-LIQ-DC,B1,B1,LIQ,
C0000055,S260812-M2-NCP-ND-RE,M1,M2,NCP,3 ciclos de giro sem contato
C0000075,S260812-M2-COL-RC,M2,M2,COL,
C0000083,S260812-M2-LIQ-RC,M2,M2,LIQ,
C0000106,S260812-B3-NCP-ND-RE,B3,B3,NCP,3 ciclos de giro sem contato
C0000112,S260812-A2-COL-AV,A2,A2,COL,
C0000123,S260812-A1-CPA-AV-T1,A1,A1,CPA,
C0000161,S260812-M2-NCP-ND-RE,M2,M2,NCP,3 ciclos de giro sem contato
C0000206,S260812-M3-COL-AV,M3,M3,COL,
C0000224,S260812-B1-CPB-DC-T3,B1,B1,CPB,
C0000264,S260812-A3-NCP-ND-RE,A3,A3,NCP,3 ciclos de giro sem contato
C0000286,S260812-A1-NCP-ND-RE,A1,A1,NCP,3 ciclos de giro sem contato
C0000367,S260812-B2-CPB-RC-T2,B1,B2,CPB,
C0000386,S260812-M1-CPB-WA-T1,M1,M1,CPB,
C0000397,S260812-M2-COL-RC,M2,M2,COL,
C0000016,S260813-M1-CPB-RC-T3,M1,M1,CPB,
C0000052,S260813-B1-CPB-AV-T2,B1,B1,CPB,
C0000115,S260813-A3-CPB-DC-T3,A3,A3,CPB,
C0000128,S260813-B1-NCP-ND-RE,B1,B1,NCP,3 ciclos de giro sem contato
C0000145,S260813-A1-CPB-DC-T1,A1,A1,CPB,
C0000187,S260813-M1-CPB-AV-T1,M1,M1,CPB,
C0000232,S260813-A3-COL-AV,A3,A3,COL,
C0000275,S260813-A2-CPB-DC-T2,A2,A2,CPB,
C0000302,S260813-M2-COL-DC,M2,M2,COL,
C0000305,S260813-B3-CPB-WA-T2,B3,B3,CPB,
C0000319,S260813-M2-CPB-RC-T3,M1,M2,CPB,
C0000321,S260813-M3-NCP-ND-RE,M3,M3,NCP,3 ciclos de giro sem contato
C0000324,S260813-M2-NCP-ND-RE,M1,M2,NCP,3 ciclos de giro sem contato
C0000325,S260813-B1-COL-RC,B1,B1,COL,
C0000330,S260813-B1-NCP-ND-RE,B1,B1,NCP,3 ciclos de giro sem contato
C0000356,S260813-B1-NCP-ND-RE,B1,B1,NCP,3 ciclos de giro sem contato
C0000374,S260813-M3-CPB-WA-T2,M2,M3,CPB,
C0000376,S260813-M2-NCP-ND-RE,M2,M2,NCP,3 ciclos de giro sem contato
C0000398,S260813-B2-LIQ-WA,B1,B2,LIQ,
C0000048,S260814-M3-COL-RC,M3,M3,COL,
C0000081,S260814-A1-NCP-ND-RE,A1,A1,NCP,3 ciclos de giro sem contato
C0000089,S260814-B2-CPB-WA-T3,B2,B2,CPB,
C0000091,S260814-A1-LIQ-RC,A1,A1,LIQ,
C0000116,S260814-A2-CPB-RC-T2,A2,A2,CPB,
C0000120,S260814-M1-NCP-ND-RE,M1,M1,NCP,3 ciclos de giro sem contato
C0000125,S260814-M1-CPB-WA-T3,M1,M1,CPB,
C0000173,S260814-M1-COL-DC,M1,M1,COL,
C0000183,S260814-A1-NCP-ND-RE,A1,A1,NCP,3 ciclos de giro sem contato
C0000191,S260814-B1-COL-RC,B1,B1,COL,
C0000192,S260814-M1-NCP-ND-RE,M1,M1,NCP,3 ciclos de giro sem contato
C0000242,S260814-M2-NCP-ND-RE,M1,M2,NCP,3 ciclos de giro sem contato
C0000252,S260814-M2-NCP-ND-RE,M2,M2,NCP,3 ciclos de giro sem contato
C0000257,S260814-A1-NCP-ND-RE,A1,A1,NCP,3 ciclos de giro sem contato
C0000268,S260814-A1-COL-AV,A1,A1,COL,
C0000276,S260814-B1-CPB-RC-T2,B1,B1,CPB,
C0000315,S260814-M2-NCP-ND-RE,M1,M2,NCP,3 ciclos de giro sem contato
C0000317,S260814-A3-CPB-DC-T1,A3,A3,CPB,
C0000342,S260814-M2-CPA-SM-T1,M2,M2,CPA,
C0000360,S260814-M2-CPB-RC-T1,M2,M2,CPB,
C0000034,S260815-A1-NCP-ND-G3,A1,A1,NCP,
C0000040,S260815-B1-PRE-WA-D-2,B1,B1,PRE,
C0000068,S260815-M2-NCP-ND-G3,M2,M2,NCP,
C0000078,S260815-B2-NCP-ND-G3,B2,B2,NCP,
C0000133,S260815-M2-CPB-SM-T2,M2,M2,CPB,
C0000152,S260815-M3-CPB-AV-T1,M3,M3,CPB,
C0000153,S260815-M2-PRE-RC-D-2,M2,M2,PRE,
C0000196,S260815-B2-COL-RC,B2,B2,COL,
C0000270,S260815-B1-NCP-ND-G3,B1,B1,NCP,
C0000362,S260815-A2-PRE-RC-D-1,A2,A2,PRE,
C0000385,S260815-A2-COL-RC,A1,A2,COL,
C0000099,S260816-M1-COL-WA,M1,M1,COL,
C0000104,S260816-B2-NCP-ND-G3,B1,B2,NCP,
C0000108,S260816-B1-NCP-ND-G3,B1,B1,NCP,
C0000164,S260816-B3-CPA-WA-T1,B2,B3,CPA,
C0000205,S260816-M2-COL-WA,M2,M2,COL,
C0000223,S260816-M1-CPB-WA-T2,M1,M1,CPB,
C0000304,S260816-M3-NCP-ND-G3,M3,M3,NCP,
C0000316,S260816-B2-COL-WA,B2,B2,COL,
C0000327,S260816-B1-NCP-ND-G3,B1,B1,NCP,
C0000329,S260816-B1-NCP-ND-G3,B1,B1,NCP,
C0000332,S260816-B3-NCP-ND-G3,B3,B3,NCP,
C0000358,S260816-B3-COL-RC,B3,B3,COL,
C0000393,S260816-M1-PRE-AV-D-3,M1,M1,PRE,
C0000394,S260816-M3-COL-AV,M3,M3,COL,
C0000006,S260817-A2-NCP-ND-G3,A2,A2,NCP,
C0000031,S260817-A2-CPB-EM-T3,A1,A2,CPB,
C0000051,S260817-A3-NCP-ND-G3,A3,A3,NCP,
C0000056,S260817-A1-CPB-WA-T1,A1,A1,CPB,
C0000058,S260817-A1-CPA-AV-T1,A1,A1,CPA,
C0000065,S260817-A2-COL-AV,A2,A2,COL,
C0000114,S260817-M1-COL-WA,M1,M1,COL,
C0000211,S260817-A1-NCP-ND-G3,A1,A1,NCP,
C0000219,S260817-M2-NCP-ND-G3,M1,M2,NCP,
C0000222,S260817-A3-NCP-ND-G3,A3,A3,NCP,
C0000246,S260817-M2-COL-RC,M2,M2,COL,
C0000278,S260817-M3-NCP-ND-G3,M3,M3,NCP,
C0000334,S260817-B1-NCP-ND-G1,B1,B1,NCP,esgotou os canais
C0000340,S260817-M2-COL-RC,M2,M2,COL,
C0000373,S260817-M3-NCP-ND-G3,M3,M3,NCP,
C0000396,S260817-M3-NCP-ND-G3,M3,M3,NCP,
C0000029,S260818-B3-COL-EM,B3,B3,COL,
C0000060,S260818-M1-COL-AV,M1,M1,COL,
C0000109,S260818-B3-NCP-ND-G3,B3,B3,NCP,
C0000110,S260818-M1-CPB-WA-T2,M1,M1,CPB,
C0000118,S260818-A2-NCP-ND-G3,A2,A2,NCP,
C0000132,S260818-A2-CPB-DC-T1,A2,A2,CPB,
C0000140,S260818-M2-CPB-SM-T1,M2,M2,CPB,
C0000149,S260818-M2-CPB-SM-T1,M2,M2,CPB,
C0000160,S260818-B3-NCP-ND-G1,B3,B3,NCP,esgotou os canais
C0000170,S260818-M2-CPB-SM-T3,M2,M2,CPB,
C0000204,S260818-M1-CPA-WA-T1,M1,M1,CPA,
C0000221,S260818-B2-CPB-SM-T1,B2,B2,CPB,
C0000231,S260818-M3-CPB-DC-T1,M3,M3,CPB,
C0000235,S260818-M1-NCP-ND-G3,M1,M1,NCP,
C0000248,S260818-M2-CPA-AV-T1,M2,M2,CPA,
C0000280,S260818-A3-COL-AV,A3,A3,COL,
C0000291,S260818-B1-COL-WA,B1,B1,COL,
C0000318,S260818-B3-NCP-ND-G3,B3,B3,NCP,
C0000014,S260819-A3-LIQ-WA,A3,A3,LIQ,
C0000076,S260819-A3-NCP-ND-G3,A3,A3,NCP,
C0000131,S260819-A1-COL-WA,A1,A1,COL,
C0000220,S260819-M1-NCP-ND-G3,M1,M1,NCP,
C0000258,S260819-M3-CPB-SM-T2,M3,M3,CPB,
C0000277,S260819-M1-CPA-WA-T1,M1,M1,CPA,
C0000320,S260819-A2-COL-WA,A2,A2,COL,
C0000363,S260819-A2-NCP-ND-G3,A1,A2,NCP,
C0000011,S260820-B1-NCP-ND-G3,B1,B1,NCP,
C0000025,S260820-B3-CPB-WA-T1,B3,B3,CPB,
C0000028,S260820-B3-COL-WA,B3,B3,COL,
C0000032,S260820-B2-NCP-ND-G3,B2,B2,NCP,
C0000049,S260820-M2-NCP-ND-G3,M2,M2,NCP,
C0000088,S260820-B3-NCP-ND-G3,B3,B3,NCP,
C0000143,S260820-B2-COL-SM,B2,B2,COL,
C0000154,S260820-M1-NCP-ND-G3,M1,M1,NCP,
C0000159,S260820-B1-NCP-ND-G3,B1,B1,NCP,
C0000171,S260820-M1-NCP-ND-G3,M1,M1,NCP,
C0000180,S260820-B1-COL-SM,B1,B1,COL,
C0000207,S260820-B3-CPB-RC-T3,B3,B3,CPB,
C0000230,S260820-M3-NCP-ND-G3,M3,M3,NCP,
C0000253,S260820-A1-LIQ-DC,A1,A1,LIQ,
C0000263,S260820-M1-COL-WA,M1,M1,COL,
C0000309,S260820-M1-NCP-ND-G3,M1,M1,NCP,
C0000328,S260820-M3-CPB-WA-T1,M3,M3,CPB,
C0000346,S260820-M2-COL-RC,M1,M2,COL,
C0000349,S260820-B2-NCP-ND-G3,B2,B2,NCP,
C0000018,S260821-B2-NCP-ND-G3,B2,B2,NCP,
C0000033,S260821-M3-NCP-ND-G3,M3,M3,NCP,
C0000035,S260821-M3-CPA-WA-T1,M3,M3,CPA,
C0000044,S260821-B1-COL-AV,B1,B1,COL,
C0000047,S260821-M2-COL-DC,M2,M2,COL,
C0000053,S260821-B1-CPB-SM-T1,B1,B1,CPB,
C0000059,S260821-B1-NCP-ND-G3,B1,B1,NCP,
C0000121,S260821-M1-NCP-ND-G3,M1,M1,NCP,
C0000146,S260821-B1-NCP-ND-G3,B1,B1,NCP,
C0000212,S260821-A2-CPB-DC-T3,A2,A2,CPB,
C0000236,S260821-A1-NCP-ND-G3,A1,A1,NCP,
C0000298,S260821-M3-NCP-ND-G3,M3,M3,NCP,
C0000306,S260821-A1-CPB-DC-T1,A1,A1,CPB,
C0000307,S260821-B1-CPB-SM-T3,B1,B1,CPB,
C0000322,S260821-M2-NCP-ND-G3,M2,M2,NCP,
C0000352,S260821-A2-COL-WA,A2,A2,COL,
C0000042,S260822-B1-NCP-ND-G3,B1,B1,NCP,
C0000057,S260822-B1-CPB-DC-T2,B1,B1,CPB,
C0000086,S260822-A3-NCP-ND-G3,A3,A3,NCP,
C0000095,S260822-M1-PRE-AV-D-2,M1,M1,PRE,
C0000124,S260822-B1-CPB-RC-T3,B1,B1,CPB,
C0000135,S260822-B3-NCP-ND-G3,B3,B3,NCP,
C0000157,S260822-B1-LIQ-WA,B1,B1,LIQ,
C0000199,S260822-A3-NCP-ND-G3,A3,A3,NCP,
C0000237,S260822-A2-QBR-RC-D1,A2,A2,QBR,
C0000313,S260822-A3-COL-AV,A3,A3,COL,
C0000339,S260822-B2-NCP-ND-G3,B2,B2,NCP,
C0000341,S260822-A1-COL-WA,A1,A1,COL,
C0000354,S260822-B1-NCP-ND-G3,B1,B1,NCP,
C0000383,S260822-M2-NCP-ND-G3,M2,M2,NCP,
C0000004,S260823-B2-COL-RC,B2,B2,COL,
C0000008,S260823-M1-COL-RC,M1,M1,COL,
C0000010,S260823-A3-NCP-ND-G2,A3,A3,NCP,
C0000024,S260823-M1-CPB-RC-T2,M1,M1,CPB,
C0000102,S260823-M2-NCP-ND-G2,M2,M2,NCP,
C0000168,S260823-M1-CPB-RC-T2,M1,M1,CPB,
C0000175,S260823-B2-NCP-ND-G2,B1,B2,NCP,
C0000186,S260823-M3-CPA-DC-T1,M3,M3,CPA,
C0000215,S260823-M1-CPB-DC-T1,M1,M1,CPB,
C0000259,S260823-B1-CPB-SM-T2,B1,B1,CPB,
C0000296,S260823-M3-NCP-ND-G2,M3,M3,NCP,
C0000344,S260823-A1-LIQ-DC,A1,A1,LIQ,
C0000345,S260823-A1-NCP-ND-G2,A1,A1,NCP,
C0000093,S260824-M3-BLQ-ND,M3,M3,BLQ,
C0000100,S260824-A1-NCP-ND-G2,A1,A1,NCP,
C0000141,S260824-A3-COL-SM,A3,A3,COL,
C0000165,S260824-M2-NCP-ND-G2,M2,M2,NCP,
C0000209,S260824-A1-NCP-ND-G2,A1,A1,NCP,
C0000214,S260824-A2-NCP-ND-G2,A2,A2,NCP,
C0000297,S260824-A3-CPB-SM-T2,A3,A3,CPB,
C0000392,S260824-M2-NCP-ND-G2,M2,M2,NCP,
C0000000,S260825-B1-NCP-ND-G2,B1,B1,NCP,
C0000074,S260825-M2-NCP-ND-G2,M1,M2,NCP,
C0000079,S260825-M3-NCP-ND-G2,M3,M3,NCP,
C0000229,S260825-B1-NCP-ND-G2,B1,B1,NCP,
C0000240,S260825-B3-NCP-ND-G2,B3,B3,NCP,
C0000243,S260825-B3-COL-RC,B3,B3,COL,
C0000326,S260825-M3-NCP-ND-G2,M3,M3,NCP,
C0000365,S260825-B3-NCP-ND-G2,B3,B3,NCP,
C0000368,S260825-B1-NCP-ND-G2,B1,B1,NCP,
C0000030,S260826-B1-COL-WA,B1,B1,COL,
C0000071,S260826-B1-COL-DC,B1,B1,COL,
C0000085,S260826-M3-NCP-ND-G2,M3,M3,NCP,
C0000090,S260826-M1-NCP-ND-G2,M1,M1,NCP,
C0000130,S260826-B3-NCP-ND-G2,B3,B3,NCP,
C0000195,S260826-M2-NCP-ND-G2,M2,M2,NCP,
C0000228,S260826-M1-COL-DC,M1,M1,COL,
C0000247,S260826-B1-COL-RC,B1,B1,COL,
C0000290,S260826-A3-CPB-WA-T1,A3,A3,CPB,
C0000377,S260826-B2-COL-DC,B1,B2,COL,
C0000379,S260826-A2-NCP-ND-G2,A2,A2,NCP,
C0000389,S260826-M2-COL-AV,M2,M2,COL,
C0000391,S260826-M1-NCP-ND-G2,M1,M1,NCP,
C0000001,S260827-M3-NCP-ND-G2,M2,M3,NCP,
C0000007,S260827-M1-COL-DC,M1,M1,COL,
C0000023,S260827-M1-NCP-ND-G2,M1,M1,NCP,
C0000039,S260827-B1-CPA-RC-T1,B1,B1,CPA,
C0000129,S260827-A3-NCP-ND-G2,A3,A3,NCP,
C0000162,S260827-A2-NCP-ND-G2,A2,A2,NCP,
C0000179,S260827-M2-NCP-ND-G2,M2,M2,NCP,
C0000188,S260827-M1-CPB-RC-T1,M1,M1,CPB,
C0000217,S260827-A1-NCP-ND-G2,A1,A1,NCP,
C0000271,S260827-B1-CPB-AV-T2,B1,B1,CPB,
C0000284,S260827-B2-CPB-RC-T3,B2,B2,CPB,
C0000371,S260827-M3-CPB-EM-T3,M3,M3,CPB,
C0000378,S260827-M2-CPB-WA-T1,M2,M2,CPB,
C0000066,S260828-M1-NCP-ND-G2,M1,M1,NCP,
C0000148,S260828-M2-NCP-ND-G2,M2,M2,NCP,
C0000185,S260828-B2-NCP-ND-G2,B2,B2,NCP,
C0000193,S260828-B3-CPB-WA-T1,B3,B3,CPB,
C0000262,S260828-M1-CPB-RC-T2,M1,M1,CPB,
C0000269,S260828-B1-CPB-RC-T1,B1,B1,CPB,
C0000294,S260828-A1-CPB-RC-T1,A1,A1,CPB,
C0000369,S260828-M3-CPB-DC-T1,M3,M3,CPB,
C0000381,S260828-M3-CPB-WA-T1,M3,M3,CPB,
C0000387,S260828-M1-CPB-WA-T1,M1,M1,CPB,
C0000003,S260829-M1-NCP-ND-G2,M1,M1,NCP,
C0000005,S260829-A3-NCP-ND-G2,A3,A3,NCP,
C0000036,S260829-M3-COL-RC,M3,M3,COL,
C0000037,S260829-M2-CPB-SM-T1,M2,M2,CPB,
C0000105,S260829-B1-NCP-ND-G2,B1,B1,NCP,
C0000142,S260829-B1-NCP-ND-G2,B1,B1,NCP,
C0000265,S260829-A1-CPA-WA-T1,A1,A1,CPA,
C0000267,S260829-B1-CPB-SM-T3,B1,B1,CPB,
C0000310,S260829-A3-CPA-WA-T1,A3,A3,CPA,
C0000370,S260829-M1-LIQ-RC,M1,M1,LIQ,
C0000017,S260830-B1-NCP-ND-G2,B1,B1,NCP,
C0000041,S260830-M3-COL-AV,M3,M3,COL,
C0000043,S260830-M2-NCP-ND-G2,M2,M2,NCP,
C0000062,S260830-A2-LIQ-WA,A2,A2,LIQ,
C0000134,S260830-M3-COL-RC,M3,M3,COL,
C0000174,S260830-A1-NCP-ND-G2,A1,A1,NCP,
C0000238,S260830-M1-NCP-ND-G2,M1,M1,NCP,
C0000251,S260830-B3-NCP-ND-G2,B3,B3,NCP,
C0000260,S260830-A3-NCP-ND-G2,A3,A3,NCP,
C0000301,S260830-B2-COL-DC,B2,B2,COL,
C0000323,S260830-A1-CPB-RC-T1,A1,A1,CPB,
C0000335,S260830-A2-LIQ-RC,A2,A2,LIQ,
C0000012,S260831-M2-NCP-ND-G1,M2,M2,NCP,
C0000064,S260831-A2-NCP-ND-G1,A2,A2,NCP,
C0000094,S260831-B1-PRE-RC-D-1,B1,B1,PRE,
C0000117,S260831-M1-NCP-ND-G1,M1,M1,NCP,
C0000158,S260831-M1-NCP-ND-G1,M1,M1,NCP,
C0000176,S260831-M3-CPB-RC-T2,M3,M3,CPB,
C0000190,S260831-M2-NCP-ND-G1,M2,M2,NCP,
C0000245,S260831-A1-COL-WA,A1,A1,COL,
C0000254,S260831-A1-CPB-DC-T2,A1,A1,CPB,
C0000274,S260831-B3-BLQ-ND,B3,B3,BLQ,
C0000292,S260831-A3-CPA-RC-T1,A3,A3,CPA,
C0000336,S260831-M3-NCP-ND-G1,M3,M3,NCP,
C0000380,S260831-M1-COL-WA,M1,M1,COL,
C0000388,S260831-M1-NCP-ND-G1,M1,M1,NCP,
C0000021,S260901-B1-NCP-ND-G1,B1,B1,NCP,
C0000027,S260901-M3-NCP-ND-G1,M3,M3,NCP,
C0000045,S260901-M1-NCP-ND-G1,M1,M1,NCP,
C0000073,S260901-M1-CPA-SM-T1,M1,M1,CPA,
C0000087,S260901-M3-LIQ-RC,M3,M3,LIQ,
C0000167,S260901-A1-NCP-ND-G1,A1,A1,NCP,
C0000172,S260901-B1-NCP-ND-G1,B1,B1,NCP,
C0000256,S260901-B1-NCP-ND-G1,B1,B1,NCP,
C0000299,S260901-B3-NCP-ND-G1,B3,B3,NCP,
C0000303,S260901-A1-NCP-ND-G1,A1,A1,NCP,
C0000308,S260901-B2-PRE-RC-D-2,B2,B2,PRE,
C0000361,S260901-A1-NCP-ND-G1,A1,A1,NCP,
C0000366,S260901-M3-CPB-AV-T2,M3,M3,CPB,
C0000399,S260901-B1-NCP-ND-G1,B1,B1,NCP,
