id_cliente;id_acordo;parcela;vencimento;valor;pago_em
C0000145;AC0031;1;2026-09-10;175,46;2026-09-09
C0000145;AC0031;2;2026-10-10;730,39;
C0000145;AC0031;3;2026-11-09;603,13;
C0000112;AC0032;1;2026-09-16;159,24;2026-09-14
C0000112;AC0032;2;2026-10-16;221,85;
C0000112;AC0032;3;2026-11-15;171,56;
C0000351;AC0033;1;2026-09-14;150,60;2026-09-12
C0000351;AC0033;2;2026-10-14;376,54;
C0000351;AC0033;3;2026-11-13;271,65;
C0000351;AC0033;4;2026-12-13;105,21;
C0000351;AC0033;5;2027-01-12;409,22;
C0000351;AC0033;6;2027-02-11;150,06;
C0000486;AC0034;1;2026-09-27;725,21;
C0000486;AC0034;2;2026-10-27;753,98;
C0000486;AC0034;3;2026-11-26;631,09;
C0000456;AC0035;1;2026-08-28;850,86;2026-08-27
C0000456;AC0035;2;2026-09-27;859,16;
C0000456;AC0035;3;2026-10-27;476,99;
C0000456;AC0035;4;2026-11-26;873,21;
C0000456;AC0035;5;2026-12-26;784,73;
C0000456;AC0035;6;2027-01-25;388,88;
C0000432;AC0036;1;2026-09-21;639,02;2026-09-20
C0000432;AC0036;2;2026-10-21;400,50;
C0000432;AC0036;3;2026-11-20;423,54;
C0000247;AC0037;1;2026-09-01;494,33;
C0000247;AC0037;2;2026-10-01;884,80;
C0000247;AC0037;3;2026-10-31;430,84;
C0000247;AC0037;4;2026-11-30;372,71;
C0000247;AC0037;5;2026-12-30;672,22;
C0000247;AC0037;6;2027-01-29;488,05;
C0000259;AC0038;1;2026-09-02;321,95;2026-09-02
C0000259;AC0038;2;2026-10-02;552,79;
C0000259;AC0038;3;2026-11-01;550,54;
C0000259;AC0038;4;2026-12-01;714,97;
C0000259;AC0038;5;2026-12-31;462,37;
C0000259;AC0038;6;2027-01-30;618,35;
C0000324;AC0039;1;2026-09-14;351,37;2026-09-13
C0000324;AC0039;2;2026-10-14;736,59;
C0000324;AC0039;3;2026-11-13;364,81;
C0000324;AC0039;4;2026-12-13;807,84;
C0000324;AC0039;5;2027-01-12;660,12;
C0000324;AC0039;6;2027-02-11;896,81;
