id_cliente;id_contrato;data_entrada;saldo;dias_atraso;bloqueio
C0000109;CT000109;2026-07-19;1028,10;583;
C0000110;CT000110;2026-07-17;14338,51;171;
C0000111;CT000111;2026-07-19;4594,12;163;
C0000112;CT000112;2026-07-14;13097,24;55;
C0000113;CT000113;2026-07-20;1070,45;16;
C0000114;CT000114;2026-07-18;4285,34;368;
C0000115;CT000115;2026-07-16;1036,44;49;
C0000116;CT000116;2026-07-22;20424,94;57;
C0000117;CT000117;2026-07-15;971,86;177;
C0000118;CT000118;2026-07-14;695,40;494;
C0000119;CT000119;2026-07-22;1482,58;314;
C0000120;CT000120;2026-07-23;734,68;14;
C0000121;CT000121;2026-07-12;24876,89;162;
C0000122;CT000122;2026-07-12;21096,62;115;reclamação
C0000123;CT000123;2026-07-21;1987,45;60;
C0000124;CT000124;2026-07-20;867,32;79;
C0000125;CT000125;2026-07-19;179,74;92;
C0000126;CT000126;2026-07-22;672,33;8;
C0000127;CT000127;2026-07-18;2727,21;55;
C0000128;CT000128;2026-07-22;3185,13;68;
C0000129;CT000129;2026-07-25;2444,81;138;
C0000130;CT000130;2026-07-23;22675,47;590;
C0000131;CT000131;2026-07-18;4205,27;660;
C0000132;CT000132;2026-07-12;306,73;530;
C0000133;CT000133;2026-07-20;928,12;66;
C0000134;CT000134;2026-07-24;449,89;390;
C0000135;CT000135;2026-07-15;920,03;239;
C0000136;CT000136;2026-07-22;19074,22;517;
C0000137;CT000137;2026-07-14;314,86;156;
C0000138;CT000138;2026-07-19;2137,72;9;
C0000139;CT000139;2026-07-20;954,90;80;
C0000140;CT000140;2026-07-13;839,23;1;
C0000141;CT000141;2026-07-18;723,56;147;
C0000142;CT000142;2026-07-17;674,67;157;
C0000143;CT000143;2026-07-14;23894,20;141;
C0000144;CT000144;2026-07-25;557,05;9;
C0000145;CT000145;2026-07-23;26666,10;216;
C0000146;CT000146;2026-07-25;679,35;102;
C0000147;CT000147;2026-07-19;2576,48;250;
C0000148;CT000148;2026-07-17;17397,55;61;
C0000149;CT000149;2026-07-14;18618,65;31;
C0000150;CT000150;2026-07-19;4514,12;399;
C0000150;CT000150B;2026-07-19;482,35;432;
C0000151;CT000151;2026-07-13;4873,78;34;
C0000152;CT000152;2026-07-25;400,64;92;
C0000153;CT000153;2026-07-16;4806,26;48;
C0000154;CT000154;2026-07-14;3655,69;35;
C0000155;CT000155;2026-07-22;680,20;156;
C0000156;CT000156;2026-07-22;2283,86;146;
C0000157;CT000157;2026-07-24;1261,74;262;
C0000158;CT000158;2026-07-17;24964,76;83;
C0000159;CT000159;2026-07-12;878,67;77;
C0000160;CT000160;2026-07-24;4283,26;104;
C0000161;CT000161;2026-07-22;6701,86;394;
C0000162;CT000162;2026-07-17;778,22;11;
C0000163;CT000163;2026-07-20;622,08;70;
C0000164;CT000164;2026-07-18;417,09;41;
C0000165;CT000165;2026-07-18;10584,55;212;
C0000166;CT000166;2026-07-19;17465,01;485;
C0000167;CT000167;2026-07-19;21896,06;65;
C0000168;CT000168;2026-07-22;2469,59;93;
C0000169;CT000169;2026-07-20;3879,54;43;
C0000170;CT000170;2026-07-21;25971,61;121;
C0000171;CT000171;2026-07-21;300,57;80;
C0000172;CT000172;2026-07-21;807,18;138;
C0000173;CT000173;2026-07-24;990,61;50;
C0000174;CT000174;2026-07-12;4687,37;597;
C0000175;CT000175;2026-07-20;4005,46;79;
C0000176;CT000176;2026-07-23;466,67;1;
C0000177;CT000177;2026-07-16;26078,78;335;
C0000178;CT000178;2026-07-23;7906,95;470;
C0000179;CT000179;2026-07-25;827,66;53;
C0000180;CT000180;2026-07-14;450,75;17;
C0000181;CT000181;2026-07-21;26740,59;18;
C0000182;CT000182;2026-07-12;968,86;21;
C0000183;CT000183;2026-07-17;4068,90;97;
C0000184;CT000184;2026-07-22;1364,11;101;
C0000185;CT000185;2026-07-23;371,32;24;
C0000186;CT000186;2026-07-24;23784,00;268;
C0000187;CT000187;2026-07-15;318,29;603;óbito
C0000188;CT000188;2026-07-15;2162,86;54;
C0000189;CT000189;2026-07-13;4497,83;594;
C0000190;CT000190;2026-07-16;2636,63;29;
C0000191;CT000191;2026-07-21;4242,58;590;
C0000192;CT000192;2026-07-21;4847,98;381;
C0000193;CT000193;2026-07-15;2571,14;73;
C0000194;CT000194;2026-07-21;15072,96;545;
C0000195;CT000195;2026-07-20;2802,59;21;
C0000196;CT000196;2026-07-15;6812,83;57;
C0000197;CT000197;2026-07-12;3368,85;74;
C0000198;CT000198;2026-07-22;4895,53;45;
C0000199;CT000199;2026-07-13;18744,15;94;
C0000200;CT000200;2026-07-15;3391,33;660;
C0000200;CT000200B;2026-07-15;2003,30;692;
C0000201;CT000201;2026-07-13;782,05;583;
C0000202;CT000202;2026-07-21;169,50;152;
C0000203;CT000203;2026-07-20;10154,87;115;
C0000204;CT000204;2026-07-16;754,72;694;
C0000205;CT000205;2026-07-18;2096,37;403;
C0000206;CT000206;2026-07-18;355,09;33;
C0000207;CT000207;2026-07-21;17386,51;14;
C0000208;CT000208;2026-07-20;2755,52;162;
C0000209;CT000209;2026-07-15;1503,05;96;
C0000210;CT000210;2026-07-22;733,23;167;
C0000211;CT000211;2026-07-18;17072,17;42;
C0000212;CT000212;2026-07-24;873,21;70;
C0000213;CT000213;2026-07-16;512,28;22;
C0000214;CT000214;2026-07-21;14557,94;49;
C0000215;CT000215;2026-07-19;524,76;137;
C0000216;CT000216;2026-07-22;27781,46;31;
C0000217;CT000217;2026-07-13;387,08;149;
C0000218;CT000218;2026-07-24;14248,81;568;
C0000219;CT000219;2026-07-20;12388,36;30;
C0000220;CT000220;2026-07-22;17884,27;664;
C0000221;CT000221;2026-07-15;3311,07;89;
C0000222;CT000222;2026-07-19;1024,24;140;
C0000223;CT000223;2026-07-14;7038,58;55;
C0000224;CT000224;2026-07-13;660,49;86;
C0000225;CT000225;2026-07-22;769,51;140;
C0000226;CT000226;2026-07-15;2076,28;377;
C0000227;CT000227;2026-07-12;3638,91;179;
C0000228;CT000228;2026-07-17;13246,71;155;
C0000229;CT000229;2026-07-12;964,21;55;
C0000230;CT000230;2026-07-13;9676,87;73;
C0000231;CT000231;2026-07-16;16319,04;45;
C0000232;CT000232;2026-07-18;719,45;64;
C0000233;CT000233;2026-07-20;3108,52;84;
C0000234;CT000234;2026-07-24;504,08;409;
C0000235;CT000235;2026-07-21;2301,78;383;
C0000236;CT000236;2026-07-24;27759,30;31;
C0000237;CT000237;2026-07-15;126,08;224;
C0000238;CT000238;2026-07-20;667,12;160;
C0000239;CT000239;2026-07-19;4703,56;169;
C0000240;CT000240;2026-07-14;649,62;87;
C0000241;CT000241;2026-07-14;1939,55;380;
C0000242;CT000242;2026-07-12;414,42;437;
C0000243;CT000243;2026-07-18;2551,11;65;
C0000244;CT000244;2026-07-15;515,51;90;
C0000245;CT000245;2026-07-21;729,21;146;
C0000246;CT000246;2026-07-19;4535,08;308;
C0000247;CT000247;2026-07-23;9070,11;435;
C0000248;CT000248;2026-07-23;771,89;11;
C0000249;CT000249;2026-07-14;7054,81;19;
C0000250;CT000250;2026-07-16;4184,71;213;
C0000250;CT000250B;2026-07-16;312,48;271;
C0000251;CT000251;2026-07-20;21449,40;70;
C0000252;CT000252;2026-07-19;27616,55;113;
C0000253;CT000253;2026-07-25;14368,82;46;
C0000254;CT000254;2026-07-24;18067,37;74;
C0000255;CT000255;2026-07-13;484,59;640;
C0000256;CT000256;2026-07-20;245,44;27;
C0000257;CT000257;2026-07-23;902,03;134;
C0000258;CT000258;2026-07-12;737,23;57;
C0000259;CT000259;2026-07-20;3268,51;100;
C0000260;CT000260;2026-07-20;864,87;22;
C0000261;CT000261;2026-07-25;783,46;37;
C0000262;CT000262;2026-07-24;469,85;174;
C0000263;CT000263;2026-07-18;4911,44;220;
C0000264;CT000264;2026-07-12;28832,21;192;
C0000265;CT000265;2026-07-23;144,28;14;
C0000266;CT000266;2026-07-15;385,53;73;
C0000267;CT000267;2026-07-12;558,35;165;
C0000268;CT000268;2026-07-18;132,90;116;
C0000269;CT000269;2026-07-17;24959,05;126;
C0000270;CT000270;2026-07-21;26093,35;542;
C0000271;CT000271;2026-07-22;4423,37;10;
C0000272;CT000272;2026-07-24;2483,24;176;
C0000273;CT000273;2026-07-13;27862,54;36;
C0000274;CT000274;2026-07-13;29393,86;98;
C0000275;CT000275;2026-07-24;26175,92;86;
C0000276;CT000276;2026-07-24;2298,13;704;
C0000277;CT000277;2026-07-13;4448,56;71;
C0000278;CT000278;2026-07-13;986,63;86;
C0000279;CT000279;2026-07-25;9291,60;428;
C0000280;CT000280;2026-07-22;14484,93;151;
C0000281;CT000281;2026-07-15;4072,32;309;
C0000282;CT000282;2026-07-25;276,44;188;
C0000283;CT000283;2026-07-18;4968,45;156;
C0000284;CT000284;2026-07-22;2571,43;303;
C0000285;CT000285;2026-07-23;4050,23;90;
C0000286;CT000286;2026-07-12;1383,66;19;
C0000287;CT000287;2026-07-13;1377,19;307;
C0000288;CT000288;2026-07-19;3727,03;70;
C0000289;CT000289;2026-07-17;437,53;493;
C0000290;CT000290;2026-07-13;1182,34;82;
C0000291;CT000291;2026-07-13;22724,53;452;
C0000292;CT000292;2026-07-24;474,26;174;
C0000293;CT000293;2026-07-16;4787,59;118;
C0000294;CT000294;2026-07-25;2315,03;47;
C0000295;CT000295;2026-07-25;4015,04;447;
C0000296;CT000296;2026-07-16;197,48;639;óbito
C0000297;CT000297;2026-07-18;2401,05;169;
C0000298;CT000298;2026-07-22;945,24;468;
C0000299;CT000299;2026-07-16;1456,98;380;
C0000300;CT000300;2026-07-13;4542,89;20;
C0000300;CT000300B;2026-07-13;200,89;20;
C0000301;CT000301;2026-07-18;1594,45;452;
C0000302;CT000302;2026-07-15;536,95;63;
C0000303;CT000303;2026-07-12;3868,52;49;
C0000304;CT000304;2026-07-13;2275,86;146;
C0000305;CT000305;2026-07-22;3167,42;23;
C0000306;CT000306;2026-07-20;3394,37;128;
C0000307;CT000307;2026-07-22;9638,38;459;
C0000308;CT000308;2026-07-25;4958,90;507;
C0000309;CT000309;2026-07-19;22458,45;702;
C0000310;CT000310;2026-07-12;689,14;83;
C0000311;CT000311;2026-07-25;351,48;61;
C0000312;CT000312;2026-07-17;995,06;49;
C0000313;CT000313;2026-07-23;2395,27;84;
C0000314;CT000314;2026-07-18;9563,14;79;
C0000315;CT000315;2026-07-16;3376,02;114;
C0000316;CT000316;2026-07-20;19242,52;77;
C0000317;CT000317;2026-07-19;8207,51;285;
C0000318;CT000318;2026-07-21;716,76;93;
C0000319;CT000319;2026-07-16;2817,30;17;
C0000320;CT000320;2026-07-14;448,86;6;
C0000321;CT000321;2026-07-13;689,22;85;
C0000322;CT000322;2026-07-23;369,54;83;
C0000323;CT000323;2026-07-19;4387,23;67;
C0000324;CT000324;2026-07-18;577,65;173;
C0000325;CT000325;2026-07-15;2651,90;212;
C0000326;CT000326;2026-07-23;8377,31;101;
C0000327;CT000327;2026-07-18;725,34;90;
C0000328;CT000328;2026-07-19;871,56;99;
C0000329;CT000329;2026-07-17;9180,68;53;
C0000330;CT000330;2026-07-25;4507,58;83;
C0000331;CT000331;2026-07-25;7880,28;91;
C0000332;CT000332;2026-07-13;4955,91;115;
C0000333;CT000333;2026-07-23;508,95;43;
C0000334;CT000334;2026-07-16;2874,37;115;
C0000335;CT000335;2026-07-25;4829,28;530;
C0000336;CT000336;2026-07-24;247,65;3;
C0000337;CT000337;2026-07-20;828,62;155;
C0000338;CT000338;2026-07-14;1855,10;573;
C0000339;CT000339;2026-07-22;111,14;26;
C0000340;CT000340;2026-07-16;439,75;691;
C0000341;CT000341;2026-07-20;3996,51;196;
C0000342;CT000342;2026-07-13;315,08;142;
C0000343;CT000343;2026-07-24;3450,63;485;
C0000344;CT000344;2026-07-16;4538,16;71;
C0000345;CT000345;2026-07-18;4159,39;105;
C0000346;CT000346;2026-07-13;26541,23;17;
C0000347;CT000347;2026-07-23;1190,82;64;
C0000348;CT000348;2026-07-17;1179,47;16;
C0000349;CT000349;2026-07-18;6690,76;85;
C0000350;CT000350;2026-07-22;11583,72;116;
C0000350;CT000350B;2026-07-22;1223,32;123;
C0000351;CT000351;2026-07-15;767,33;654;
C0000352;CT000352;2026-07-18;3299,34;123;
C0000353;CT000353;2026-07-18;211,15;82;
C0000354;CT000354;2026-07-12;10268,46;267;
C0000355;CT000355;2026-07-22;3182,77;430;
C0000356;CT000356;2026-07-24;7877,91;566;
C0000357;CT000357;2026-07-15;3456,32;398;
C0000358;CT000358;2026-07-24;534,47;253;
C0000359;CT000359;2026-07-18;26206,37;118;
C0000360;CT000360;2026-07-20;948,32;35;
C0000361;CT000361;2026-07-23;1945,96;126;
C0000362;CT000362;2026-07-25;4531,02;15;
C0000363;CT000363;2026-07-23;9117,54;62;
C0000364;CT000364;2026-07-16;3915,26;89;
C0000365;CT000365;2026-07-12;2437,20;66;
C0000366;CT000366;2026-07-14;2696,73;3;
C0000367;CT000367;2026-07-23;9287,67;211;
C0000368;CT000368;2026-07-20;8480,83;47;
C0000369;CT000369;2026-07-21;24062,78;49;
C0000370;CT000370;2026-07-21;3615,49;40;
C0000371;CT000371;2026-07-21;814,99;15;
C0000372;CT000372;2026-07-20;673,03;4;
C0000373;CT000373;2026-07-17;596,80;352;
C0000374;CT000374;2026-07-15;2659,57;85;
C0000375;CT000375;2026-07-15;758,41;148;
C0000376;CT000376;2026-07-25;1890,51;96;
C0000377;CT000377;2026-07-25;597,33;496;
C0000378;CT000378;2026-07-22;351,97;115;
C0000379;CT000379;2026-07-22;28671,29;404;
C0000380;CT000380;2026-07-21;202,10;137;
C0000381;CT000381;2026-07-15;4646,67;482;judicial
C0000382;CT000382;2026-07-20;2189,20;183;
C0000383;CT000383;2026-07-12;1357,59;20;
C0000384;CT000384;2026-07-13;523,22;19;
C0000385;CT000385;2026-07-17;17109,20;68;
C0000386;CT000386;2026-07-12;4949,79;175;
C0000387;CT000387;2026-07-15;887,47;156;
C0000388;CT000388;2026-07-13;282,30;534;
C0000389;CT000389;2026-07-13;6921,20;87;
C0000390;CT000390;2026-07-14;575,34;211;
C0000391;CT000391;2026-07-22;24322,29;48;
C0000392;CT000392;2026-07-12;3141,22;114;
C0000393;CT000393;2026-07-16;26291,51;113;
C0000394;CT000394;2026-07-17;324,31;104;judicial
C0000395;CT000395;2026-07-20;886,04;90;
C0000396;CT000396;2026-07-19;10275,49;98;
C0000397;CT000397;2026-07-20;4371,96;93;
C0000398;CT000398;2026-07-12;640,26;429;
C0000399;CT000399;2026-07-18;1196,01;589;
C0000400;CT000400;2026-07-25;357,39;28;
C0000400;CT000400B;2026-07-25;2257,19;71;
C0000401;CT000401;2026-07-16;3642,91;265;
C0000402;CT000402;2026-07-15;2079,21;97;
C0000403;CT000403;2026-07-17;537,22;43;
C0000404;CT000404;2026-07-25;3673,83;90;
C0000405;CT000405;2026-07-21;4967,12;46;
C0000406;CT000406;2026-07-12;2314,36;445;
C0000407;CT000407;2026-07-13;2016,74;94;
C0000408;CT000408;2026-07-25;831,37;206;
C0000409;CT000409;2026-07-12;127,19;217;
C0000410;CT000410;2026-07-19;3407,85;153;
C0000411;CT000411;2026-07-16;9425,03;14;
C0000412;CT000412;2026-07-19;1147,46;36;
C0000413;CT000413;2026-07-14;371,32;115;
C0000414;CT000414;2026-07-16;348,13;685;
C0000415;CT000415;2026-07-21;1040,92;289;
C0000416;CT000416;2026-07-21;4727,69;175;
C0000417;CT000417;2026-07-16;4919,94;133;
C0000418;CT000418;2026-07-25;654,69;45;
C0000419;CT000419;2026-07-14;3955,27;240;
C0000420;CT000420;2026-07-21;6056,90;437;
C0000421;CT000421;2026-07-15;981,74;394;
C0000422;CT000422;2026-07-15;4608,58;8;
C0000423;CT000423;2026-07-13;919,65;426;
C0000424;CT000424;2026-07-13;6142,93;590;
C0000425;CT000425;2026-07-24;8571,94;301;
C0000426;CT000426;2026-07-24;3756,11;151;
C0000427;CT000427;2026-07-22;341,46;1;
C0000428;CT000428;2026-07-23;9365,61;77;
C0000429;CT000429;2026-07-25;735,64;82;
C0000430;CT000430;2026-07-24;296,50;97;
C0000431;CT000431;2026-07-18;8310,23;41;
C0000432;CT000432;2026-07-18;12293,12;15;
C0000433;CT000433;2026-07-13;2372,93;76;
C0000434;CT000434;2026-07-13;398,28;341;
C0000435;CT000435;2026-07-24;249,27;619;
C0000436;CT000436;2026-07-19;3045,48;60;
C0000437;CT000437;2026-07-21;2128,41;62;
C0000438;CT000438;2026-07-16;465,40;124;
C0000439;CT000439;2026-07-21;173,40;137;
C0000440;CT000440;2026-07-12;4853,38;54;
C0000441;CT000441;2026-07-22;3743,50;90;opt-out geral
C0000442;CT000442;2026-07-12;902,74;442;
C0000443;CT000443;2026-07-21;13885,71;235;
C0000444;CT000444;2026-07-15;2849,50;121;
C0000445;CT000445;2026-07-18;24537,93;437;
C0000446;CT000446;2026-07-14;16171,35;71;
C0000447;CT000447;2026-07-18;259,24;26;
C0000448;CT000448;2026-07-24;1382,32;38;
C0000449;CT000449;2026-07-17;4395,26;6;
C0000450;CT000450;2026-07-13;484,26;69;
C0000450;CT000450B;2026-07-13;2923,46;94;
C0000451;CT000451;2026-07-20;16099,41;302;
C0000452;CT000452;2026-07-21;4108,11;179;
C0000453;CT000453;2026-07-19;3008,66;45;
C0000454;CT000454;2026-07-23;1862,18;238;
C0000455;CT000455;2026-07-23;18683,21;112;
C0000456;CT000456;2026-07-12;22709,65;134;
C0000457;CT000457;2026-07-20;193,15;83;
C0000458;CT000458;2026-07-21;15602,01;613;
C0000459;CT000459;2026-07-20;24108,96;52;
C0000460;CT000460;2026-07-14;118,44;80;
C0000461;CT000461;2026-07-22;2910,88;461;
C0000462;CT000462;2026-07-15;1387,62;145;
C0000463;CT000463;2026-07-12;701,72;80;
C0000464;CT000464;2026-07-18;12349,89;51;
C0000465;CT000465;2026-07-23;4131,57;79;
C0000466;CT000466;2026-07-13;399,66;124;
C0000467;CT000467;2026-07-12;4994,09;125;
C0000468;CT000468;2026-07-18;135,18;49;
C0000469;CT000469;2026-07-16;918,66;74;
C0000470;CT000470;2026-07-21;207,10;89;
C0000471;CT000471;2026-07-21;22240,38;46;
C0000472;CT000472;2026-07-23;4195,88;30;
C0000473;CT000473;2026-07-24;23294,99;669;
C0000474;CT000474;2026-07-22;138,48;88;
C0000475;CT000475;2026-07-17;1527,29;688;
C0000476;CT000476;2026-07-19;847,33;149;
C0000477;CT000477;2026-07-12;19130,16;178;
C0000478;CT000478;2026-07-12;1961,60;716;
C0000479;CT000479;2026-07-20;12717,00;80;
C0000480;CT000480;2026-07-18;21383,56;30;
C0000481;CT000481;2026-07-19;3305,73;495;
C0000482;CT000482;2026-07-19;1626,26;22;
C0000483;CT000483;2026-07-14;7211,90;45;
C0000484;CT000484;2026-07-21;14150,51;387;
C0000485;CT000485;2026-07-12;24159,14;509;
C0000486;CT000486;2026-07-22;1611,93;70;
C0000487;CT000487;2026-07-17;1395,41;133;
C0000488;CT000488;2026-07-21;4693,09;52;
C0000489;CT000489;2026-07-17;907,08;41;
C0000490;CT000490;2026-07-16;261,39;174;
C0000491;CT000491;2026-07-17;8982,67;593;
C0000492;CT000492;2026-07-19;3928,48;39;
C0000493;CT000493;2026-07-16;1167,93;245;
C0000494;CT000494;2026-07-14;3256,89;179;
C0000495;CT000495;2026-07-23;390,79;532;
C0000496;CT000496;2026-07-24;4406,37;40;
C0000497;CT000497;2026-07-18;2893,55;472;
C0000498;CT000498;2026-07-17;27701,09;70;
C0000499;CT000499;2026-07-17;251,61;582;
C0000500;CT000500;2026-09-17;930,19;44;
C0000500;CT000500B;2026-09-17;2912,87;77;
C0000501;CT000501;2026-09-17;2717,92;89;
C0000502;CT000502;2026-09-17;211,09;106;
C0000503;CT000503;2026-09-17;14323,19;266;
C0000504;CT000504;2026-09-17;843,97;42;
C0000505;CT000505;2026-09-17;795,30;302;
C0000506;CT000506;2026-09-17;2988,33;79;
C0000507;CT000507;2026-09-17;590,73;50;
C0000508;CT000508;2026-09-17;2635,66;18;
C0000509;CT000509;2026-09-17;13364,31;136;
C0000510;CT000510;2026-09-17;1940,14;35;
C0000511;CT000511;2026-09-17;926,21;112;opt-out geral
C0000512;CT000512;2026-09-17;16642,35;21;
C0000513;CT000513;2026-09-17;28364,88;471;
C0000514;CT000514;2026-09-17;4391,57;164;
C0000515;CT000515;2026-09-17;4005,19;47;
C0000516;CT000516;2026-09-17;2326,03;535;
C0000517;CT000517;2026-09-17;713,08;310;
C0000518;CT000518;2026-09-17;2966,93;11;
C0000519;CT000519;2026-09-17;1916,39;444;
C0000520;CT000520;2026-09-17;512,16;127;
C0000521;CT000521;2026-09-17;936,03;124;
C0000522;CT000522;2026-09-17;1271,04;158;
C0000523;CT000523;2026-09-17;3274,97;143;
C0000524;CT000524;2026-09-17;1342,46;114;
C0000525;CT000525;2026-09-17;23104,20;510;
C0000526;CT000526;2026-09-17;490,90;71;
C0000527;CT000527;2026-09-17;28415,33;49;
C0000528;CT000528;2026-09-17;910,53;3;
C0000529;CT000529;2026-09-17;23155,80;15;opt-out geral
C0000530;CT000530;2026-09-17;737,12;125;
C0000531;CT000531;2026-09-17;1123,25;129;
C0000532;CT000532;2026-09-17;3984,31;12;
C0000533;CT000533;2026-09-17;225,49;117;
C0000534;CT000534;2026-09-17;941,29;167;
C0000535;CT000535;2026-09-17;2972,73;82;
C0000536;CT000536;2026-09-17;3431,81;21;
C0000537;CT000537;2026-09-17;3877,83;72;
C0000538;CT000538;2026-09-17;2094,45;2;
C0000539;CT000539;2026-09-17;1985,40;670;
C0000540;CT000540;2026-09-17;932,69;126;
C0000541;CT000541;2026-09-17;14139,36;73;
C0000542;CT000542;2026-09-17;1834,51;156;
C0000543;CT000543;2026-09-17;2217,31;45;
C0000544;CT000544;2026-09-17;21870,80;56;
C0000545;CT000545;2026-09-17;612,09;674;
C0000546;CT000546;2026-09-17;271,10;45;
C0000547;CT000547;2026-09-17;22732,96;69;
C0000548;CT000548;2026-09-17;24959,97;83;
C0000549;CT000549;2026-09-17;1269,23;136;
C0000550;CT000550;2026-09-17;3546,87;401;
